Patrick Flanagan,pflan29@gmail.com,2167857257,30200 Winsor Dr,Bay Village,OH,44140,M,,,
Cenglin Bao,baoceng0@gmail.com,1234567890,123 Mt Pleasant St,Columbus,OH,43201,M,,,
Wen Fang,wen.fang.2019@gmail.com,2345678901,620 Main St,Columbus,OH,43201,M,,,
Kai Li,gary414999683@gmail.com,3456789012,2112 N High St,Columbus,OH,43201,M,,,
"Dwayne ""The Rock"" Johnson",drockjohnson@yahoo.com,4567890123,1 Appleblossom Ave,Seattle,WA,98101,M,,,
Kanye West,yeezy@aol.com,5678901234,33 Grammy Ave,Austin,TX,73301,M,,,
Tom  Brady,thegoat12@hotmail.com,6789012345,5 Super Blvd ,Nashville,TN,37011,M,,,
Marilyn Monroe,marymonroe@gmail.com,7890123456,67 Hollywood Ave,Beverly Hills,CA,90210,F,,,
Oprah Winfrey,oprah@aol.com,4443333222,718 Forbes Dr,Bloomington,ID,47401,F,,,
Wiliam Smith,freshprince@gmail.com,8901234567,4302 Heyward Ln,Augusta,ME,43300,M,,,
Kim Kardashian,kuwtk@yahoo.com,9012345678,123 Fame Ave,Annapolis,MD,21401,F,,,
Jennifer Garner,capitalone@gmail.com,1112223333,8097 WhatsInYourWallet St,New York,NY,10022,F,,,
Matt Damon,wickedsmaht@hotmail.com,1236540987,83291 Green Ln,Cheyenne,WY,82001,M,,,
Leonardo DiCaprio,titanicRevenant@aol.com,4408158157,1 Oscar Ln,Boulder,CO,80301,M,,,
Albert Einstein,EequalsMCsquared@yahoo.com,4408718159,7645 Nobel Dr,Miami,FL,33101,M,,,
Isaac Newton,gravityRuuuules@aol.com,2136491839,6357 Sadler Dr,Las Vegas,NV,88901,M,,,
Michael Jordan,jordan@gmail.com,3108371039,5 Rings Blvd,Phoenix,AZ,85001,M,,,
Marie Curie,chemistryRuuuules@hotmail.com,2120202098,43215 Carbon St,Atlanta,GA,30301,F,,,
Serena Williams,wimbledonChamp@gmail.com,7180926199,77 Tennis Ct,Columbia,SC,29044,F,,,
Napoleon Dynamite,vote4Pedro@gmail.com,9141024200,7839 MiddleOfNowhere St,Buffalo,NY,14201,M,,,
